date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:44:44	656/656	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Jan%202017%2008:44:42%20GMT	http://69662.claimapplewatch.com/robots.txt		(from )
16:44:48	477520/477520	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Jan%202017%2008:44:42%20GMT	http://69662.claimapplewatch.com/	C:/My%20Web%20Sites/ClaimappleWatch%20LP/69662.claimapplewatch.com/index.html	(from )
16:44:49	1148/1148	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Jan%202017%2008:44:49%20GMT	http://69662.claimapplewatch.com/bootstrap/dist/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/ClaimappleWatch%20LP/69662.claimapplewatch.com/bootstrap/dist/fonts/glyphicons-halflings-regular.eot	(from http://69662.claimapplewatch.com/)
16:44:50	1148/1148	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Jan%202017%2008:44:50%20GMT	http://69662.claimapplewatch.com/bootstrap/dist/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/ClaimappleWatch%20LP/69662.claimapplewatch.com/bootstrap/dist/fonts/glyphicons-halflings-regulard41d.eot	(from http://69662.claimapplewatch.com/)
16:44:51	1148/1148	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Jan%202017%2008:44:51%20GMT	http://69662.claimapplewatch.com/bootstrap/dist/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/ClaimappleWatch%20LP/69662.claimapplewatch.com/bootstrap/dist/fonts/glyphicons-halflings-regular.woff2	(from http://69662.claimapplewatch.com/)
16:44:52	1148/1148	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Jan%202017%2008:44:51%20GMT	http://69662.claimapplewatch.com/bootstrap/dist/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/ClaimappleWatch%20LP/69662.claimapplewatch.com/bootstrap/dist/fonts/glyphicons-halflings-regular.woff	(from http://69662.claimapplewatch.com/)
16:44:53	1148/1148	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Jan%202017%2008:44:53%20GMT	http://69662.claimapplewatch.com/bootstrap/dist/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/ClaimappleWatch%20LP/69662.claimapplewatch.com/bootstrap/dist/fonts/glyphicons-halflings-regular.ttf	(from http://69662.claimapplewatch.com/)
16:44:54	1148/1148	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Jan%202017%2008:44:53%20GMT	http://69662.claimapplewatch.com/bootstrap/dist/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/ClaimappleWatch%20LP/69662.claimapplewatch.com/bootstrap/dist/fonts/glyphicons-halflings-regular.svg	(from http://69662.claimapplewatch.com/)
16:44:55	6840/6840	---M--	200	added ('OK')	image/png	etag:%2230030cfede802bf2be53f157671a6249%22	http://i.imgur.com/oumKE37.png	C:/My%20Web%20Sites/ClaimappleWatch%20LP/i.imgur.com/oumKE37.png	(from http://69662.claimapplewatch.com/)
16:45:10	83150/83150	---M--	200	added ('OK')	image/png	etag:%221e3668dee4394684afe8508346fe38f5%22	http://i.imgur.com/v94jYsd.png	C:/My%20Web%20Sites/ClaimappleWatch%20LP/i.imgur.com/v94jYsd.png	(from http://69662.claimapplewatch.com/)
